ID_Anuncio,Marca,Modelo,Versao,Ano_Fabricacao,Ano_Modelo,Quilometragem,Cambio,Carroceria,Preco_Real,Percentual_FIPE,Estado
68645581,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2025,2025.0,0.0,Automática,Sedã,171990.0,108.0,São Paulo (SP)
67922991,TOYOTA,COROLLA,2.0 XRS 16V FLEX 4P AUTOMÁTICO,2017,2018.0,108461.0,CVT,Sedã,110000.0,111.0,São Paulo (SP)
69504399,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2025,2025.0,43000.0,CVT,Sedã,143900.0,100.0,São Paulo (SP)
69337951,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,57000.0,Automática,Sedã,133090.0,104.0,São Paulo (SP)
67751773,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022.0,95189.0,CVT,Sedã,130000.0,106.0,São Paulo (SP)
69498769,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,61000.0,CVT,Sedã,127900.0,100.0,São Paulo (SP)
69344213,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,48631.0,Automática,Sedã,139190.0,109.0,São Paulo (SP)
68471742,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2020,2021.0,54256.0,Automática,Sedã,124990.0,104.0,São Paulo (SP)
69376531,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,60339.0,Automática,Sedã,129990.0,102.0,São Paulo (SP)
59071724,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022.0,113900.0,Automática,Sedã,159990.0,130.0,São Paulo (SP)
69554049,TOYOTA,COROLLA,2.0 XEI 16V FLEX 4P AUTOMÁTICO,2016,2017.0,205557.0,Automática,Sedã,81990.0,93.0,São Paulo (SP)
69375799,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS CVT,2023,2023.0,57607.0,Automática,Sedã,156590.0,110.0,São Paulo (SP)
69299333,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,77071.0,Automática,Sedã,133790.0,105.0,São Paulo (SP)
69555236,TOYOTA,COROLLA,2.0 VVT-IE FLEX GR-S DIRECT SHIFT,2023,2024.0,45000.0,Automática,Sedã,165900.0,104.0,São Paulo (SP)
69377114,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024.0,83885.0,Automática,Sedã,139290.0,98.0,São Paulo (SP)
69450543,TOYOTA,COROLLA,2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2023,2023.0,55000.0,CVT,Sedã,149900.0,105.0,São Paulo (SP)
69448651,TOYOTA,COROLLA,2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2021,2022.0,53749.0,Automática,Sedã,169990.0,125.0,São Paulo (SP)
69309399,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,97240.0,Automática,Sedã,127790.0,100.0,São Paulo (SP)
69309389,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,97240.0,Automática,Sedã,127790.0,100.0,São Paulo (SP)
69355047,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024.0,91000.0,Automática,Sedã,136500.0,96.0,São Paulo (SP)
67429855,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2019,2020.0,106000.0,CVT,Sedã,139000.0,119.0,São Paulo (SP)
69253516,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024.0,79000.0,CVT,Sedã,138900.0,97.0,São Paulo (SP)
69503990,TOYOTA,COROLLA,1.8 GLI 16V FLEX 4P AUTOMÁTICO,2016,2016.0,116468.0,Automática,Sedã,87990.0,112.0,São Paulo (SP)
